manufacturer,model,year,mileage,engine,price,accidents_or_damage
Honda,Pilot Touring,2016,73168.0,3.5L V6 24V GDI SOHC,24900.0,1.0
Chevrolet,Blazer Premier,2019,32533.0,Gas V6 3.6L/,38587.0,0.0
Land Rover,Range Rover Sport HSE Silver Edition,2021,27356.0,V6,69500.0,0.0
Chevrolet,Bolt EV LT,2019,21761.0,Electric,23500.0,0.0
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium R-Line,2020,6418.0,3.6L V6 24V GDI DOHC,44894.0,0.0
Kia,Soul +,2019,12744.0,2.0L I4 16V GDI DOHC,20800.0,0.0
Jeep,Compass Latitude,2019,48769.0,2.4L I4 16V MPFI SOHC,21995.0,0.0
Nissan,Rogue SV,2017,46211.0,2.5L I4 16V MPFI DOHC,19450.0,0.0
Chevrolet,Equinox 1LT,2013,132853.0,2.4L I4 16V GDI DOHC,8999.0,0.0
BMW,430 Gran Coupe i xDrive,2018,73484.0,2.0L I4 16V GDI DOHC Turbo,26900.0,0.0
GMC,Sierra 1500 AT4,2020,56182.0,"EcoTec3 6.2L V-8 gasoline direct injection, variable valve contr",49990.0,0.0
Kia,Soul Base,2014,94056.0,1.6L I4 16V GDI DOHC,10577.0,1.0
Nissan,Versa 1.6 SV,2021,41205.0,1.6L I4 16V MPFI DOHC,18897.0,0.0
Dodge,Challenger R/T Scat Pack,2021,18481.0,6.4L V8 16V MPFI OHV,46888.0,0.0
Tesla,Model 3 Standard Range Plus,2021,35731.0,Electric,36980.0,0.0
Hyundai,Santa Fe SE 2.4,2020,31067.0,2.4L I4 16V GDI DOHC,21999.0,0.0
Kia,Seltos SX,2021,11974.0,1.6L I4 16V GDI DOHC Turbo,28224.0,0.0
RAM,1500 Classic SLT,2019,67916.0,5.7L V8 16V MPFI OHV,27905.0,0.0
RAM,2500 Big Horn,2020,90734.0,6.4L V8 16V MPFI OHV,38222.0,0.0
Lexus,LS 460 Base,2008,58383.0,4.6L V8 32V PDI DOHC,21987.0,0.0
Mercedes-Benz,C-Class C 300,2019,24283.0,2.0L I4 16V GDI DOHC Turbo,36955.0,0.0
Buick,Encore GX Select,2020,6941.0,1.3L I3 12V MPFI DOHC Turbo,25991.0,0.0
BMW,740 740i,2023,16.0,Intercooled Turbo Gas/Electric I-6 3.0 L/183,103745.0,0.0
Dodge,Journey SE Value Package,2019,75681.0,2.4L I4 16V MPFI DOHC,20195.0,0.0
Tesla,Model S,2018,36460.0,Electric,58988.0,0.0
Chevrolet,Malibu LT,2020,63857.0,1.5L I4 16V GDI DOHC Turbo,19000.0,0.0
Mercedes-Benz,GLC 300 Base,2018,27221.0,2.0L I4 16V GDI DOHC Turbo,28230.0,0.0
Hyundai,IONIQ Hybrid Blue,2018,36686.0,1.6L I4 16V GDI DOHC Hybrid,21998.0,0.0
Nissan,Maxima 3.5 SR,2019,121161.0,3.5L V6 24V GDI DOHC,20999.0,1.0
Ford,Fusion SEL,2020,47474.0,1.5L I4 16V GDI DOHC Turbo,23828.0,0.0
Toyota,Sienna LE,2019,65742.0,"3.5L V-6 port/direct injection, DOHC, variable valve control, en",24999.0,1.0
Jeep,Cherokee Sport,2001,186923.0,4.0L I6 12V MPFI OHV,5999.0,0.0
Toyota,Tundra SR5,2022,12667.0,3.5L V6 24V PDI DOHC Twin Turbo,52327.0,0.0
Chevrolet,Tahoe LT,2016,109004.0,5.3L V8 16V GDI OHV,28270.0,0.0
Subaru,Forester 2.0XT Touring,2017,84329.0,2.0L H4 16V GDI DOHC Turbo,21295.0,0.0
Cadillac,CT5 Premium Luxury AWD,2020,29455.0,2.0L I4 16V GDI DOHC Turbo,39765.0,0.0
Toyota,Yaris Sedan LE,2019,59483.0,1.5L I4 16V GDI DOHC,18998.0,0.0
Toyota,Yaris iA Base,2017,45066.0,1.5L I4 16V GDI DOHC,15647.0,1.0
Toyota,C-HR XLE,2019,48799.0,2.0L,22995.0,0.0
Lexus,RX 350,2019,32211.0,3.5L V6 24V PDI DOHC,43900.0,1.0
Toyota,RAV4 Hybrid XLE,2020,41081.0,2.5L I4 16V PDI DOHC Hybrid,32996.0,0.0
GMC,Acadia SLE,2020,76442.0,2.5L I4 16V GDI DOHC,25991.0,0.0
Honda,HR-V LX,2020,40789.0,"1.8L I-4 variable valve control, engine with 141HP",16997.0,0.0
Land Rover,Range Rover HSE Westminster,2021,46274.0,V6,78867.0,0.0
Honda,Odyssey EX-L,2008,195776.0,3.5L V6 24V MPFI SOHC,4988.0,1.0
Jaguar,F-PACE S,2021,19585.0,I4,41984.0,0.0
Volkswagen,Atlas 3.6 V6 SEL Premium R-Line,2021,55463.0,3.6L V6 24V GDI DOHC,40999.0,0.0
Audi,SQ5 3.0T Premium Plus,2017,66191.0,3.0L V6 24V GDI DOHC Supercharged,27975.0,1.0
Mercedes-Benz,C-Class C 300 4MATIC,2020,28521.0,2.0L I4 16V GDI DOHC Turbo,49998.0,0.0
Mercedes-Benz,GLE 350 Base 4MATIC,2020,61220.0,2.0L I4 16V GDI DOHC Turbo,46551.0,0.0
INFINITI,Q60 3.0t LUXE,2020,62733.0,3.0L V6 24V GDI DOHC Twin Turbo,30190.0,0.0
Kia,Rio S,2021,63844.0,1.6L I4 16V MPFI DOHC,16900.0,0.0
Nissan,Versa 1.6,2009,77992.0,1.6L I4 16V MPFI DOHC,6991.0,0.0
Volkswagen,Golf R 4-Door,2016,86323.0,2.0L I4 16V GDI DOHC Turbo,26998.0,0.0
Hyundai,Elantra SEL,2022,15071.0,2.0L I4 16V MPFI DOHC,22995.0,0.0
Chevrolet,Equinox 1LT,2018,68559.0,1.5L I4 16V GDI DOHC Turbo,19999.0,1.0
Land Rover,Range Rover Westminster,2021,39730.0,"Ingenium 3L I-6 gasoline direct injection, DOHC, CVVL variable v",82498.0,0.0
GMC,Yukon XL AT4,2022,10741.0,6.2L V8 16V GDI OHV,83477.0,0.0
Ford,Taurus SE,2006,77407.0,3.0L V6 12V MPFI OHV,6150.0,0.0
Mazda,CX-30 Turbo Premium Plus Package,2021,20830.0,2.5L I4 16V GDI DOHC Turbo,27451.0,0.0
Ford,Transit Connect XL,2020,24109.0,2.0L I4 16V GDI DOHC,31900.0,1.0
Ford,Mustang Mach-E Select,2021,9643.0,Electric,39995.0,0.0
Ford,Fusion Hybrid Titanium,2020,57422.0,2.0L I4 16V MPFI DOHC Hybrid,20500.0,0.0
Kia,Soul Base,2016,40427.0,1.6L I4 16V GDI DOHC,19995.0,0.0
Lexus,ES 300h Base,2013,146000.0,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,13000.0,0.0
Jeep,Wrangler Unlimited Sport,2021,34159.0,3.6L V6 24V MPFI DOHC,36295.0,0.0
Toyota,Sienna XLE,2022,43555.0,2.5L I4 16V PDI DOHC Hybrid,52521.0,0.0
Dodge,Journey SXT,2016,114608.0,2.4L I4 16V MPFI DOHC,11990.0,1.0
INFINITI,QX80 Luxe,2019,41404.0,5.6L V8 32V GDI DOHC,39700.0,0.0
Buick,Enclave Essence,2018,52419.0,Gas V6 3.6L/217,25000.0,0.0
Ford,Transit-250,2022,16019.0,3.5L V6 24V PDI DOHC Flexible Fuel,51900.0,0.0
Nissan,Murano SL,2017,92720.0,3.5L V6 24V MPFI DOHC,20303.0,1.0
Hyundai,Kona EV SEL,2021,6346.0,Electric,30500.0,1.0
Honda,Odyssey EX-L,2012,180563.0,3.5L V6 24V MPFI SOHC,10427.0,0.0
INFINITI,QX50 SENSORY,2021,30287.0,2.0L I4 16V PDI DOHC Turbo,38719.0,0.0
Mercedes-Benz,C-Class C 300,2015,96518.0,2.0L I4 16V GDI DOHC Turbo,17495.0,0.0
Toyota,Tundra SR5,2004,90809.0,"I-FORCE 4.7L V-8 DOHC, engine with 240HP",16000.0,0.0
Audi,A6 45 Premium,2022,4706.0,I4,53590.0,0.0
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,58345.0,2.0L I4 16V GDI DOHC Turbo,20445.0,0.0
Lincoln,MKX Select,2016,77141.0,3.7L V6 24V MPFI DOHC,19995.0,0.0
Kia,Rio S,2019,29494.0,1.6L I4 16V GDI DOHC,16800.0,0.0
Acura,ILX Premium Package,2019,35121.0,2.4L I4 16V GDI DOHC,25580.0,0.0
Jeep,Renegade Latitude,2016,142126.0,2.4L I4 16V MPFI SOHC,11500.0,0.0
Toyota,Avalon XLE,2022,7236.0,3.5L,37903.0,0.0
Volkswagen,Passat 2.0T,2007,129457.0,"2L I-4 gasoline direct injection, DOHC, variable valve control,",4995.0,0.0
Kia,Optima Hybrid Base,2017,77990.0,2.0L I4 16V GDI DOHC Hybrid,16991.0,1.0
Lincoln,Aviator Reserve AWD,2020,24109.0,3.0L V6 24V GDI DOHC Twin Turbo,49900.0,0.0
Chevrolet,Camaro 1LT,2019,7572.0,2.0L I4 16V GDI DOHC Turbo,24875.0,0.0
Nissan,Frontier PRO-4X,2023,691.0,3.8L V6 24V GDI DOHC,43500.0,0.0
BMW,750 Li,2006,106000.0,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8500.0,0.0
Jeep,Cherokee Limited,2016,70541.0,2.4L I4 16V MPFI SOHC,17999.0,0.0
GMC,Terrain SLT,2020,19123.0,2.0L I4 16V GDI DOHC Turbo,28959.0,0.0
Subaru,Ascent Limited 7-Passenger,2021,8889.0,2.4L H4 16V GDI DOHC Turbo,37495.0,0.0
Kia,Sorento L,2019,56211.0,2.4L I4 16V GDI DOHC,20500.0,0.0
Nissan,Sentra SV,2017,83775.0,1.8L I4 16V MPFI DOHC,11999.0,1.0
Volkswagen,Tiguan 2.0T SEL Premium R-Line,2021,15825.0,2.0L I4 16V GDI DOHC Turbo,33273.0,1.0
Jeep,Gladiator Mojave,2021,36738.0,3.6L V6 24V MPFI DOHC,50900.0,0.0
Volkswagen,Jetta GLI 2.0T S,2019,29920.0,2.0L I4 16V GDI DOHC Turbo,24394.0,0.0
Mercedes-Benz,GLS 450 Base 4MATIC,2017,78401.0,3.0L V6 24V GDI DOHC Twin Turbo,31990.0,0.0
Chevrolet,Camaro 2SS,2010,106937.0,6.2L V-8 engine with 426HP,20900.0,0.0
Nissan,Altima 2.5 S,2019,63161.0,2.5L I4 16V GDI DOHC,17995.0,0.0
Land Rover,Discovery Sport S,2020,28308.0,I4,33298.0,0.0
Jeep,Renegade Altitude,2018,33250.0,"Tigershark MultiAir 2.4L I-4 variable valve control, engine with",21485.0,1.0
GMC,Terrain SLT,2019,32500.0,1.5L I4 16V GDI DOHC Turbo,27995.0,0.0
Nissan,Rogue Sport SV,2018,46271.0,2.0L I4 16V GDI DOHC,15998.0,1.0
Volkswagen,Atlas Cross Sport 2.0T SEL,2020,16673.0,2.0L I4 16V GDI DOHC Turbo,34999.0,0.0
Toyota,Sienna SE,2014,108760.0,3.5L V6 24V MPFI DOHC,19749.0,0.0
INFINITI,QX80 PREMIUM SELECT AWD,2021,33479.0,"5.6L V-8 gasoline direct injection, DOHC, VVEL variable valve co",51950.0,0.0
Mercedes-Benz,C-Class C 300 4MATIC,2019,41325.0,2.0L I4 16V GDI DOHC Turbo,30432.0,1.0
Audi,S5 3.0T Premium Plus,2015,65023.0,3.0L V6 24V GDI DOHC Supercharged,26995.0,1.0
Ford,Transit Connect XLT,2014,82036.0,2.5L I4 16V MPFI DOHC,16500.0,0.0
Honda,Passport EX-L,2022,4634.0,3.5L V6 24V GDI SOHC,37921.0,0.0
Hyundai,Elantra SE,2014,94964.0,"1.8L I-4 DOHC, D-CVVT variable valve control, engine with 145HP",8995.0,0.0
Ford,Fusion SE,2020,43003.0,1.5L I4 16V GDI DOHC Turbo,25944.0,0.0
GMC,Acadia Denali,2018,114687.0,3.6L V6 24V GDI DOHC,24330.0,0.0
Ford,Bronco Sport Badlands,2021,6988.0,2.0L I4 16V GDI DOHC Turbo,38999.0,0.0
Kia,Sorento SX Limited,2014,114128.0,3.3L V6 24V GDI DOHC,16588.0,0.0
Honda,Accord LX,2018,31417.0,"1.5L I-4 gasoline direct injection, DOHC, VTEC variable valve co",26990.0,0.0
Jeep,Wrangler Unlimited Sahara,2018,47446.0,3.6L V6 24V MPFI DOHC,43900.0,1.0
Buick,Verano Convenience,2013,66730.0,2.4L I4 16V GDI DOHC,13933.0,1.0
BMW,530e xDrive iPerformance,2019,37931.0,2.0L I4 16V GDI DOHC Turbo Hybrid,31495.0,1.0
Buick,LaCrosse Essence,2017,42440.0,3.6L V6 24V GDI DOHC,24998.0,0.0
Honda,Pilot Touring,2012,157075.0,3.5L V6 24V MPFI SOHC,11995.0,0.0
Toyota,Corolla SE,2018,68211.0,1.8L I4 16V MPFI DOHC,22910.0,0.0
Mercedes-Benz,GLK-Class GLK 350 4MATIC,2012,34303.0,3.5L V6 24V MPFI DOHC,19425.0,1.0
Ford,Explorer XLT,2021,43420.0,2.3L I4 16V GDI DOHC Turbo,30000.0,0.0
Jeep,Renegade Latitude,2020,18782.0,2.4L I4 16V MPFI SOHC,25190.0,0.0
Kia,Rio S,2021,20821.0,1.6L I4 16V MPFI DOHC,18919.0,1.0
Kia,Soul +,2018,32714.0,2.0L I4 16V GDI DOHC,19998.0,1.0
Ford,EcoSport SE,2019,39871.0,2.0L I4 16V GDI DOHC,19839.0,0.0
Chevrolet,Corvette Grand Sport,2019,9545.0,6.2L V8 16V GDI OHV,73652.0,0.0
Jeep,Wrangler Rubicon,2009,53221.0,3.8L V6 12V MPFI OHV,20444.0,0.0
Lincoln,Corsair Standard,2020,18400.0,2.0L I4 16V GDI DOHC Turbo,33918.0,0.0
Lexus,RX 350 RX 350 F SPORT,2019,33568.0,3.5L V6 24V PDI DOHC,37995.0,0.0
Chrysler,200 S,2015,50320.0,3.6L V6 24V MPFI DOHC Flexible Fuel,18995.0,0.0
Volkswagen,Jetta 1.8T SE,2015,58754.0,1.8L I4 16V GDI DOHC Turbo,13931.0,1.0
Mazda,Mazda6 Grand Touring,2017,74168.0,2.5L I4 16V GDI DOHC,19589.0,0.0
Dodge,Grand Caravan SE,2013,112080.0,3.6L V6 24V MPFI DOHC Flexible Fuel,9900.0,1.0
Chevrolet,Silverado 1500 LTZ,2019,67615.0,6.2L V8 16V GDI OHV,43115.0,1.0
Jeep,Wrangler Sahara,2013,63527.0,3.6L V6 24V MPFI DOHC,26995.0,0.0
Lexus,IS 250 Base,2012,112205.0,2.5L V6 24V GDI DOHC,14588.0,0.0
Tesla,Model X Long Range Plus,2020,68516.0,Electric,62989.0,0.0
Toyota,Prius Prime Plus,2017,38052.0,1.8L I4 16V MPFI DOHC Hybrid,23115.0,0.0
Toyota,RAV4 Hybrid Limited,2021,28060.0,"Dynamic Force 2.5L I-4 port/direct injection, DOHC, VVT-i variab",39911.0,0.0
Mazda,CX-30 Select,2021,14702.0,2.5L I4 16V GDI DOHC,23197.0,0.0
Chrysler,Voyager LXI,2020,66876.0,6,23888.0,0.0
Chevrolet,Silverado 1500 RST,2022,3400.0,3.0L I6 24V DDI DOHC Turbo Diesel,54990.0,0.0
Chevrolet,Traverse LT Leather,2019,60967.0,"3.6L V-6 gasoline direct injection, DOHC, VVT variable valve con",31527.0,0.0
Ford,Expedition Limited,2017,112076.0,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",25988.0,0.0
Tesla,Model S 85D,2015,87358.0,Electric,30900.0,1.0
BMW,330 i xDrive,2019,27936.0,2.0L I4 16V GDI DOHC Turbo,46995.0,0.0
Kia,Optima EX,2011,120502.0,2.4L I4 16V GDI DOHC,11750.0,0.0
Lincoln,MKZ Reserve II,2019,29573.0,2.0L I4 16V GDI DOHC Turbo,29989.0,0.0
Toyota,Prius Plug-in Advanced,2014,161921.0,1.8L I4 16V MPFI DOHC Hybrid,12795.0,0.0
Honda,CR-V EX,2020,36551.0,1.5L I4 16V GDI DOHC Turbo,28988.0,0.0
Jaguar,F-PACE SVR,2023,229.0,V8,91995.0,0.0
Nissan,Armada Platinum,2018,85516.0,5.6L V8 32V GDI DOHC,28980.0,0.0
Nissan,Altima 2.0 Platinum,2020,5468.0,2.0L I4 16V PDI DOHC Turbo,34899.0,0.0
GMC,Canyon SLE,2019,54321.0,3.6L V6 24V GDI DOHC,34995.0,0.0
Subaru,Crosstrek 2.0i Limited,2019,32131.0,2.0L H4 16V GDI DOHC,26995.0,0.0
Buick,Enclave Avenir,2019,17084.0,3.6L V6 24V GDI DOHC,40000.0,0.0
Toyota,4Runner TRD Off Road,2022,48470.0,4.0L V6 24V MPFI DOHC,42031.0,0.0
Honda,Passport Touring,2021,13191.0,3.5L V6 24V GDI SOHC,39998.0,0.0
Mercedes-Benz,GLA 250 Base 4MATIC,2023,9.0,2.0L I4 16V GDI DOHC Turbo,48230.0,0.0
Lexus,NX 300 F Sport,2020,28565.0,2.0L I4 16V PDI DOHC Turbo,31999.0,1.0
Toyota,Sienna LE,2021,22472.0,2.5L I4 16V PDI DOHC Hybrid,42535.0,0.0
Cadillac,XT5 Luxury,2019,20656.0,3.6L V6 24V GDI DOHC,32184.0,1.0
Land Rover,Range Rover Velar P250 S,2019,41956.0,2.0L I4 16V GDI DOHC Turbo,39490.0,1.0
Chevrolet,Silverado 1500 LTZ,2019,55492.0,5.3L V8 16V GDI OHV,45364.0,0.0
Toyota,Camry XLE,2016,100419.0,2.5L I4 16V MPFI DOHC,16400.0,0.0
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,78649.0,3.0L V6 24V GDI DOHC Twin Turbo,43991.0,0.0
Subaru,Legacy 2.5i Premium,2019,39323.0,2.5L H4 16V MPFI DOHC,21000.0,0.0
Ford,Mustang Mach-E Premium,2021,19391.0,Electric,46985.0,0.0
Buick,Envision Essence,2017,43604.0,2.5L I4 16V GDI DOHC Flexible Fuel,22293.0,1.0
Cadillac,XT5 Luxury,2017,36562.0,3.6L V6 24V GDI DOHC,27995.0,0.0
Kia,Seltos S,2021,33999.0,"2L I-4 DOHC, variable valve control, engine with 146HP",26338.0,1.0
Ford,Fusion SE,2020,27614.0,2.0L I4 16V GDI DOHC Turbo,23429.0,1.0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2020,65312.0,2.0L I4 16V GDI DOHC Turbo,46500.0,0.0
Chevrolet,Traverse LT Leather,2021,27090.0,3.6L V6 24V GDI DOHC,35987.0,0.0
Volkswagen,Passat 2.0T Wolfsburg,2019,43287.0,2.0L I4 16V GDI DOHC Turbo,21998.0,0.0
Ford,F-150 Lightning LARIAT,2023,2034.0,Electric,82450.0,0.0
BMW,X5 xDrive35i Premium,2013,100945.0,3.0L I6 24V GDI DOHC Turbo,15990.0,0.0
INFINITI,M35x Base,2007,151020.0,3.5L V6 24V MPFI DOHC,7296.0,1.0
Chevrolet,Spark LS,2017,70554.0,1.4L I4 16V MPFI DOHC,9891.0,0.0
Honda,Civic LX,2019,42235.0,2.0L I4 16V MPFI DOHC,22998.0,1.0
Chevrolet,Blazer Premier,2020,38018.0,Gas V6 3.6L/,33750.0,0.0
Chevrolet,Silverado 2500 LTZ,2018,85107.0,6.0L V8 16V MPFI OHV Flexible Fuel,43995.0,0.0
Toyota,Tacoma TRD Off Road,2020,12895.0,3.5L V6 24V PDI DOHC,41580.0,0.0
Porsche,Macan Base,2022,9974.0,2.0L I4 16V GDI DOHC Turbo,61599.0,0.0
Hyundai,Santa Fe SE 2.4,2020,30943.0,2.4L I4 16V GDI DOHC,24104.0,0.0
Nissan,Rogue SV,2019,18575.0,2.5L I4 16V MPFI DOHC,26998.0,0.0
Chrysler,Pacifica Touring-L,2020,53941.0,3.6L V6 24V MPFI DOHC,27389.0,0.0
Lexus,RX 350 Base,2022,5035.0,3.5L V6 24V PDI DOHC,54990.0,1.0
Ford,Transit-350 XLT,2020,60972.0,3.5L V6 24V PDI DOHC,45500.0,0.0
GMC,Sierra 3500 Denali,2019,98701.0,6.6L V8 32V DDI OHV Turbo Diesel,56995.0,0.0
Tesla,Model X 75D,2018,46415.0,Electric,53998.0,0.0
Toyota,Camry SE,2020,129743.0,2.5L I4 16V PDI DOHC,19991.0,0.0
Nissan,Rogue Sport S,2020,26780.0,2.0L I4 16V GDI DOHC,20995.0,1.0
Ford,Edge SEL,2020,50465.0,2.0L I4 16V GDI DOHC Turbo,21905.0,0.0
Kia,Soul LX,2022,39883.0,2.0L I4 16V MPFI DOHC,23884.0,0.0
Dodge,Grand Caravan SXT,2020,62310.0,3.6L V6 24V MPFI DOHC,20916.0,0.0
Toyota,Tundra SR5,2005,181000.0,4.7L V8 32V MPFI DOHC,11990.0,0.0
Acura,RDX Base,2015,33217.0,3.5L V6 24V MPFI SOHC,23595.0,0.0
Toyota,Camry SE,2020,35211.0,2.5L I4 16V PDI DOHC,23548.0,0.0
Mercedes-Benz,C-Class C250,2013,105606.0,Turbocharged Gas I4 1.8L/110,12699.0,1.0
Ford,Fusion SE,2020,11544.0,2.0L I4 16V GDI DOHC Turbo,24995.0,0.0
BMW,X4 xDrive30i,2021,33266.0,2.0L I4 16V GDI DOHC Turbo,40495.0,0.0
Lexus,IS 350 F Sport,2021,20096.0,3.5L V6 24V PDI DOHC,45500.0,0.0
Acura,ILX Base,2020,20401.0,2.4L I4 16V GDI DOHC,25698.0,1.0
Honda,CR-V EX-L,2014,150957.0,"2.4L I-4 DOHC, i-VTEC variable valve control, engine with 185HP",14500.0,0.0
Nissan,Versa Note SV,2015,130631.0,"1.6L I-4 DOHC, variable valve control, engine with 109HP",6500.0,1.0
Ford,Edge SEL,2018,33502.0,3.5L V6 24V MPFI DOHC,22799.0,0.0
Toyota,Corolla LE,2008,92079.0,1.8L I4 16V MPFI DOHC,10980.0,0.0
Kia,Telluride EX,2021,21036.0,3.8L V6 24V GDI DOHC,43137.0,0.0
Mercedes-Benz,C-Class C 300,2020,43250.0,2.0L I4 16V GDI DOHC Turbo,31494.0,1.0
Audi,A8 L 4.0T,2016,26203.0,4.0L V8 32V GDI DOHC Twin Turbo,44997.0,0.0
BMW,X5 xDrive40i,2019,59236.0,3.0L I6 24V GDI DOHC Turbo,40997.0,0.0
INFINITI,QX50 Luxe,2021,54094.0,2.0L I4 16V PDI DOHC Turbo,31997.0,0.0
Jeep,Grand Cherokee Limited,2021,29894.0,3.6L V6 24V MPFI DOHC,37981.0,0.0
Land Rover,Range Rover 3.0L Supercharged,2018,35695.0,V6,57495.0,1.0
Porsche,Taycan Base (A2),2022,7545.0,Electric,94998.0,0.0
Land Rover,Range Rover Evoque Pure Plus,2012,71656.0,2.0L Si4 aluminum I4 turbo engine,15999.0,0.0
Buick,Lucerne CXL,2011,61092.0,"3.9L V-6 variable valve control, engine with 227HP",13002.0,0.0
Hyundai,Santa Fe GLS,2012,172311.0,3.5L V6 24V MPFI DOHC,7990.0,1.0
Toyota,Tacoma SR5,2021,40306.0,2.7L I4 16V MPFI DOHC,35500.0,0.0
Ford,E350 Super Duty XL,2005,12678.0,6.8L V10 20V MPFI SOHC,18995.0,0.0
BMW,540 i xDrive,2020,63246.0,3.0L I6 24V GDI DOHC Turbo,39980.0,0.0
Nissan,Pathfinder SL,2020,84054.0,3.5L V6 24V GDI DOHC,24437.0,0.0
Kia,Rio LX,2014,94500.0,1.6L I4 16V GDI DOHC,9988.0,1.0
Ford,EcoSport SE,2019,24632.0,1.0L I3 12V GDI DOHC Turbo,20890.0,1.0
Audi,Q7 45 Premium Plus,2021,20200.0,2.0L I4 16V GDI DOHC Turbo,47998.0,0.0
Audi,Q5 45 S line Premium Plus,2022,4644.0,2.0L I4 16V GDI DOHC Turbo,46900.0,0.0
Chevrolet,Silverado 1500 Limited RST,2022,17663.0,5.3L V8 16V GDI OHV,52989.0,1.0
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium R-Line,2020,31014.0,3.6L V6 24V GDI DOHC,37998.0,0.0
Honda,Odyssey Touring,2019,23789.0,3.5L V6 24V GDI SOHC,39998.0,0.0
Ford,Ranger XLT,2021,16372.0,2.3L I4 16V GDI DOHC Turbo,38833.0,0.0
Chevrolet,Corvette Stingray,2016,41235.0,6.2L V8 16V GDI OHV,44831.0,1.0
Subaru,Forester 2.0XT Premium,2015,103637.0,2.0L 4-Cylinder DOHC 16V Turbocharged Intercooled,14898.0,1.0
GMC,Terrain SLE,2019,25096.0,1.5L I4 16V GDI DOHC Turbo,26475.0,0.0
Jeep,Compass Limited,2020,40115.0,2.4L I4 16V MPFI SOHC,22900.0,0.0
Nissan,Murano Platinum,2017,19179.0,3.5L V6 24V MPFI DOHC,28726.0,0.0
Mercedes-Benz,S-Class S 560,2019,47514.0,4.0L V8 32V GDI DOHC Twin Turbo,62988.0,0.0
Dodge,Grand Caravan GT,2017,98657.0,3.6L V6 24V MPFI DOHC Flexible Fuel,13999.0,1.0
Nissan,Titan SV,2017,39855.0,5.6L V8 32V GDI DOHC,24988.0,0.0
Toyota,Camry XSE,2020,37061.0,2.5L I4 16V PDI DOHC,28994.0,1.0
Honda,Passport TrailSport,2022,4074.0,3.5L V6 24V GDI SOHC,40990.0,0.0
Ford,Mustang GT,2021,23622.0,5.0L V8 32V PDI DOHC,37763.0,0.0
Toyota,Corolla SE,2021,17877.0,2.0L I4 16V PDI DOHC,23998.0,1.0
Jaguar,XE 25t R-Sport,2018,89445.0,"Ingenium 2L I-4 gasoline direct injection, DOHC, variable valve",25999.0,0.0
Nissan,Versa S,2020,63621.0,1.6L I4 16V MPFI DOHC,15500.0,1.0
Land Rover,Range Rover 5.0L V8 Supercharged,2019,59384.0,V8,66900.0,1.0
Chrysler,Town & Country Touring,2014,102248.0,3.6L V6 24V MPFI DOHC Flexible Fuel,13000.0,0.0
Nissan,Murano Platinum,2019,78850.0,3.5L V6 24V MPFI DOHC,25985.0,0.0
